tx_datetime,is_turnpt,close,duration,prc_diff
2014-08-29,1.0,9473.0,3,55.0
2014-09-01,-1.0,9528.0,1,-118.0
2014-09-02,1.0,9410.0,1,41.0
2014-09-03,-1.0,9451.0,1,-26.0
2014-09-04,,9425.0,1,-18.0
2014-09-05,1.0,9407.0,4,21.0
2014-09-09,-1.0,9428.0,1,-81.0
2014-09-10,,9347.0,1,-45.0
2014-09-11,,9302.0,1,-57.0
2014-09-12,,9245.0,3,-27.0
2014-09-15,,9218.0,1,-64.0
2014-09-16,1.0,9154.0,1,85.0
2014-09-17,,9239.0,0,0.0
2014-09-18,,9243.0,1,22.0
2014-09-19,-1.0,9265.0,3,-137.0
2014-09-22,,9128.0,1,-11.0
2014-09-23,1.0,9117.0,1,10.0
2014-09-24,-1.0,9127.0,1,-99.0
2014-09-25,,9028.0,1,-48.0
2014-09-26,1.0,8980.0,3,2.0
2014-09-29,,8982.0,1,9.0
2014-09-30,-1.0,8991.0,1,-11.0
2014-10-01,1.0,8980.0,1,13.0
2014-10-02,,8993.0,1,108.0
2014-10-03,-1.0,9101.0,3,-17.0
2014-10-06,,9084.0,1,-67.0
2014-10-07,,9017.0,1,-84.0
2014-10-08,1.0,8933.0,1,48.0
2014-10-09,-1.0,8981.0,4,-269.0
2014-10-13,1.0,8712.0,1,33.0
2014-10-14,-1.0,8745.0,1,-93.0
2014-10-15,,8652.0,0,0.0
2014-10-16,,8632.0,1,-132.0
2014-10-17,1.0,8500.0,3,161.0
2014-10-20,-1.0,8661.0,1,-25.0
2014-10-21,1.0,8636.0,1,108.0
2014-10-22,-1.0,8744.0,1,-23.0
2014-10-23,,8721.0,1,-79.0
2014-10-24,1.0,8642.0,3,0.0
2014-10-27,,8642.0,1,151.0
2014-10-28,,8793.0,1,86.0
2014-10-29,,8879.0,1,2.0
2014-10-30,,8881.0,1,97.0
2014-10-31,,8978.0,3,4.0
2014-11-03,,8982.0,1,10.0
2014-11-04,-1.0,8992.0,1,-8.0
2014-11-05,,8984.0,1,-82.0
2014-11-06,1.0,8902.0,1,37.0
2014-11-07,,8939.0,3,135.0
2014-11-10,-1.0,9074.0,1,-11.0
2014-11-11,,9063.0,1,-158.0
2014-11-12,1.0,8905.0,1,54.0
2014-11-13,,8959.0,1,3.0
2014-11-14,-1.0,8962.0,3,-62.0
2014-11-17,,8900.0,1,-28.0
2014-11-18,1.0,8872.0,1,119.0
2014-11-19,,8991.0,0,0.0
2014-11-20,,9093.0,1,10.0
2014-11-21,,9103.0,3,27.0
2014-11-24,-1.0,9130.0,1,-23.0
2014-11-25,1.0,9107.0,1,16.0
2014-11-26,,9123.0,1,53.0
2014-11-27,,9176.0,1,5.0
2014-11-28,-1.0,9181.0,3,-62.0
2014-12-01,,9119.0,1,-88.0
2014-12-02,1.0,9031.0,1,180.0
2014-12-03,,9211.0,1,9.0
2014-12-04,-1.0,9220.0,1,-4.0
2014-12-05,,9216.0,3,-31.0
2014-12-08,,9185.0,1,-53.0
2014-12-09,,9132.0,1,-86.0
2014-12-10,,9046.0,1,-36.0
2014-12-11,,9010.0,1,-4.0
2014-12-12,1.0,9006.0,3,30.0
2014-12-15,-1.0,9036.0,1,-55.0
2014-12-16,,8981.0,1,-120.0
2014-12-17,,8861.0,0,0.0
2014-12-18,,8857.0,1,162.0
2014-12-19,,9019.0,3,77.0
2014-12-22,,9096.0,1,19.0
2014-12-23,,9115.0,1,61.0
2014-12-24,,9176.0,1,7.0
2014-12-25,,9183.0,1,43.0
2014-12-26,,9226.0,1,30.0
2014-12-27,,9256.0,2,58.0
2014-12-29,-1.0,9314.0,1,-28.0
2014-12-30,,9286.0,1,-3.0
2014-12-31,,9283.0,5,-31.0
2015-01-05,,9252.0,1,-194.0
2015-01-06,,9058.0,1,-13.0
2015-01-07,1.0,9045.0,1,212.0
2015-01-08,-1.0,9257.0,1,-27.0
2015-01-09,,9230.0,3,-45.0
2015-01-12,1.0,9185.0,1,64.0
2015-01-13,-1.0,9249.0,1,-78.0
2015-01-14,1.0,9171.0,1,24.0
2015-01-15,-1.0,9195.0,1,-80.0
2015-01-16,1.0,9115.0,3,66.0
2015-01-19,,9181.0,1,87.0
2015-01-20,,9268.0,1,45.0
2015-01-21,,9313.0,0,0.0
2015-01-22,,9388.0,1,73.0
2015-01-23,,9461.0,3,5.0
2015-01-26,,9466.0,1,57.0
2015-01-27,,9523.0,1,3.0
2015-01-28,-1.0,9526.0,1,-98.0
2015-01-29,,9428.0,1,-28.0
2015-01-30,1.0,9400.0,3,19.0
2015-02-02,,9419.0,1,45.0
2015-02-03,,9464.0,1,57.0
2015-02-04,-1.0,9521.0,1,-7.0
2015-02-05,,9514.0,1,-45.0
2015-02-06,,9469.0,3,-19.0
2015-02-09,,9450.0,1,-18.0
2015-02-10,1.0,9432.0,1,48.0
2015-02-11,-1.0,9480.0,1,0.0
2015-02-12,1.0,9480.0,1,34.0
2015-02-13,,9514.0,11,135.0
2015-02-24,,9649.0,0,0.0
2015-02-25,,9684.0,1,-35.0
2015-02-26,,9649.0,4,-18.0
2015-03-02,,9631.0,1,-17.0
2015-03-03,1.0,9614.0,1,8.0
2015-03-04,-1.0,9622.0,1,-33.0
2015-03-05,1.0,9589.0,1,49.0
