iter	Precision:class=0_SumError	Precision:class=0_SumWeight	Precision:class=1_SumError	Precision:class=1_SumWeight	Precision:class=2_SumError	Precision:class=2_SumWeight	Recall:class=0_SumError	Recall:class=0_SumWeight	Recall:class=1_SumError	Recall:class=1_SumWeight	Recall:class=2_SumError	Recall:class=2_SumWeight
294	136	224	100	260	158	232	136	234	100	254	158	228
295	134	222	101	263	158	231	134	234	101	254	158	228
296	134	223	102	264	158	229	134	234	102	254	158	228
297	134	223	100	260	158	233	134	234	100	254	158	228
298	130	217	103	267	158	232	130	234	103	254	158	228
299	130	217	102	268	156	231	130	234	102	254	156	228
300	128	215	102	268	158	233	128	234	102	254	158	228
301	130	217	103	269	156	230	130	234	103	254	156	228
302	126	212	104	276	154	228	126	234	104	254	154	228
303	128	214	104	274	154	228	128	234	104	254	154	228
304	124	211	103	277	154	228	124	234	103	254	154	228
305	126	214	101	271	156	231	126	234	101	254	156	228
306	130	217	102	268	156	231	130	234	102	254	156	228
307	124	211	103	281	150	224	124	234	103	254	150	228
308	124	211	103	281	150	224	124	234	103	254	150	228
309	124	211	103	281	150	224	124	234	103	254	150	228
310	126	213	102	280	148	223	126	234	102	254	148	228
311	126	213	102	278	150	225	126	234	102	254	150	228
312	128	215	102	274	152	227	128	234	102	254	152	228
313	128	215	102	276	150	225	128	234	102	254	150	228
314	128	214	104	280	148	222	128	234	104	254	148	228
315	126	213	102	276	152	227	126	234	102	254	152	228
316	126	213	102	274	154	229	126	234	102	254	154	228
317	128	213	104	274	154	229	128	234	104	254	154	228
318	130	215	104	276	150	225	130	234	104	254	150	228
319	128	211	106	280	150	225	128	234	106	254	150	228
320	128	213	104	280	150	223	128	234	104	254	150	228
321	128	211	106	282	150	223	128	234	106	254	150	228
322	128	211	106	284	148	221	128	234	106	254	148	228
323	124	207	108	292	148	217	124	234	108	254	148	228
324	124	207	108	292	148	217	124	234	108	254	148	228
325	124	207	108	292	148	217	124	234	108	254	148	228
326	124	207	108	290	148	219	124	234	108	254	148	228
327	124	207	108	288	150	221	124	234	108	254	150	228
328	124	207	108	290	150	219	124	234	108	254	150	228
329	124	207	107	289	150	220	124	234	107	254	150	228
330	124	209	109	291	148	216	124	234	109	254	148	228
331	124	209	109	293	146	214	124	234	109	254	146	228
332	122	207	108	292	148	217	122	234	108	254	148	228
333	122	207	109	293	148	216	122	234	109	254	148	228
334	122	207	110	296	146	213	122	234	110	254	146	228
335	124	209	110	294	146	213	124	234	110	254	146	228
336	124	209	109	293	146	214	124	234	109	254	146	228
337	124	209	111	295	146	212	124	234	111	254	146	228
338	122	208	110	294	146	214	122	234	110	254	146	228
339	122	207	111	293	148	216	122	234	111	254	148	228
340	122	207	111	293	148	216	122	234	111	254	148	228
341	122	207	111	299	144	210	122	234	111	254	144	228
342	124	208	110	296	146	212	124	234	110	254	146	228
343	122	205	112	302	142	209	122	234	112	254	142	228
344	124	207	111	297	144	212	124	234	111	254	144	228
345	124	207	112	296	146	213	124	234	112	254	146	228
346	124	207	113	301	142	208	124	234	113	254	142	228
347	132	215	113	293	142	208	132	234	113	254	142	228
348	128	211	112	294	144	211	128	234	112	254	144	228
349	130	213	112	292	146	211	130	234	112	254	146	228
350	130	213	112	292	146	211	130	234	112	254	146	228
351	130	213	113	295	144	208	130	234	113	254	144	228
352	128	211	115	297	144	208	128	234	115	254	144	228
353	128	212	113	293	146	211	128	234	113	254	146	228
354	128	211	114	294	146	211	128	234	114	254	146	228
355	130	212	115	295	144	209	130	234	115	254	144	228
356	128	210	113	297	142	209	128	234	113	254	142	228
357	128	210	113	297	142	209	128	234	113	254	142	228
358	128	212	114	294	142	210	128	234	114	254	142	228
359	130	212	114	294	144	210	130	234	114	254	144	228
360	134	219	113	287	142	210	134	234	113	254	142	228
361	132	214	115	293	142	209	132	234	115	254	142	228
362	132	216	113	289	142	211	132	234	113	254	142	228
363	130	214	115	291	144	211	130	234	115	254	144	228
364	130	215	113	289	144	212	130	234	113	254	144	228
